Post_Code,Post_URL,Post_Date,Username_KOL,Followers,KOL_Tier,Is_Endorse,Likes,Comments,Shares,Views,LVR,CVR,SVR,ER
post_1,https://www.tiktok.com/@mimaoo__/video/7553881019519307016?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,25/09/2025,mimaoo__,1.353,Nano,Endorse,45,3,0,471,"0,096","0,006","0,000","0,102"
post_2,https://www.tiktok.com/@mimaoo__/video/7552552416852348161?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,21/09/2025,mimaoo__,1.353,Nano,Endorse,41,1,0,325,"0,126","0,003","0,000","0,129"
post_3,https://www.tiktok.com/@mimaoo__/photo/7552384073231043841?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,21/09/2025,mimaoo__,1.353,Nano,Endorse,28,2,0,854,"0,033","0,002","0,000","0,035"
post_4,https://www.tiktok.com/@mimaoo__/video/7544380199152946452?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,30/08/2025,mimaoo__,1.353,Nano,Not Endorse,69,3,0,576,"0,120","0,005","0,000","0,125"
post_5,https://www.tiktok.com/@mimaoo__/video/7555859748688563476?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,30/09/2025,mimaoo__,1.353,Nano,Not Endorse,46,1,1,413,"0,111","0,002","0,002","0,116"
post_6,https://www.tiktok.com/@mimaoo__/video/7530555479555198216?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,24/07/2025,mimaoo__,1.353,Nano,Not Endorse,89,9,2,659,"0,135","0,014","0,003","0,152"
post_7,https://www.tiktok.com/@mamah_freddy/video/7546221462953151800?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,04/09/2025,mamah_freddy,44.300,Micro,Endorse,47,4,1,2300000,"0,000","0,000","0,000","0,000"
post_8,https://www.tiktok.com/@mamah_freddy/video/7554182113629605176?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,26/09/2025,mamah_freddy,44.300,Micro,Endorse,47,4,1,12800,"0,004","0,000","0,000","0,004"
post_9,https://www.tiktok.com/@mamah_freddy/video/7553212063523278092?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,23/09/2025,mamah_freddy,44.300,Micro,Endorse,537,11,39,121300,"0,004","0,000","0,000","0,005"
post_10,https://www.tiktok.com/@mamah_freddy/video/7554910843268271416?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,28/09/2025,mamah_freddy,44.300,Micro,Not Endorse,20,1,2,270,"0,074","0,004","0,007","0,085"
post_11,https://www.tiktok.com/@mamah_freddy/photo/7550929259578117381?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,17/09/2025,mamah_freddy,44.300,Micro,Not Endorse,29,2,0,849,"0,034","0,002","0,000","0,037"
post_12,https://vt.tiktok.com/ZSyhE9DEP/,16/09/2025,mamah_freddy,44.300,Micro,Not Endorse,33,4,2,419,"0,079","0,010","0,005","0,093"
post_13,https://www.tiktok.com/@aneishamira/video/7551010063922515205?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,17/09/2025,aneishamira,101.100,Midi,Endorse,66000,338,3935,9200000,"0,007","0,000","0,000","0,008"
post_14,https://www.tiktok.com/@aneishamira/video/7550272944023424312?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,15/09/2025,aneishamira,101.100,Midi,Not Endorse,4399,14,157,37200,"0,118","0,000","0,004","0,123"
post_15,https://www.tiktok.com/@aneishamira/video/7556536953668160824?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,02/10/2025,aneishamira,101.100,Midi,Endorse,269,0,6,11700,"0,023","0,000","0,001","0,024"
post_16,https://www.tiktok.com/@aneishamira/video/7523839599810989368?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,06/07/2025,aneishamira,101.100,Midi,Endorse,156,3,14,8160,"0,019","0,000","0,002","0,021"
post_17,https://www.tiktok.com/@aneishamira/video/7554363721972305208?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,26/09/2025,aneishamira,101.100,Midi,Not Endorse,2327,6,136,22500,"0,103","0,000","0,006","0,110"
post_18,https://www.tiktok.com/@aneishamira/video/7549159482463440133?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,12/09/2025,aneishamira,101.100,Midi,Not Endorse,6296,27,254,99900,"0,063","0,000","0,003","0,066"
post_19,https://www.tiktok.com/@finaziia/video/7555449179007487239?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,29/09/2025,finaziia,742.500,Macro,Endorse,2135,36,46,155400,"0,014","0,000","0,000","0,014"
post_20,https://www.tiktok.com/@finaziia/video/7534670600153926930?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,04/08/2025,finaziia,742.500,Macro,Endorse,2868,40,83,150400,"0,019","0,000","0,001","0,020"
post_21,https://www.tiktok.com/@finaziia/video/7546898474017557778?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,06/09/2025,finaziia,742.500,Macro,Not Endorse,131200,389,3800,2100000,"0,062","0,000","0,002","0,064"
post_22,https://www.tiktok.com/@finaziia/video/7546184163401944327?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,04/09/2025,finaziia,742.500,Macro,Not Endorse,43700,73,158,558200,"0,078","0,000","0,000","0,079"
post_23,https://www.tiktok.com/@finaziia/video/7526142255409745160?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,12/07/2025,finaziia,742.500,Macro,Endorse,6968,60,280,231500,"0,030","0,000","0,001","0,032"
post_24,https://www.tiktok.com/@finaziia/video/7552096183527722248?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,20/09/2025,finaziia,742.500,Macro,Not Endorse,191100,208,1518,1800000,"0,106","0,000","0,001","0,107"
post_25,https://www.tiktok.com/@sabarglowup/video/7549792296242400517?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,14/09/2025,sabarglowup,3.800.000.000,Mega,Endorse,8889,141,69,347400,"0,026","0,000","0,000","0,026"
post_26,https://www.tiktok.com/@sabarglowup/video/7558044760552901895?is_from_webapp=1&sender_device=pc,04/10/2025,sabarglowup,3.800.000.000,Mega,Endorse,2202,103,32,238600,"0,009","0,000","0,000","0,010"
post_27,https://vt.tiktok.com/ZSydHbfd9/,08/09/2025,sabarglowup,3.800.000.000,Mega,Endorse,1634,75,33,233900,"0,007","0,000","0,000","0,007"
post_28,https://www.tiktok.com/@sabarglowup/video/7558897997539577106?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,09/10/2025,sabarglowup,3.800.000.000,Mega,Not Endorse,358800,4298,5359,7900000,"0,045","0,001","0,001","0,047"
post_29,https://www.tiktok.com/@sabarglowup/video/7551837117974908216?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,19/09/2025,sabarglowup,3.800.000.000,Mega,Not Endorse,116700,293,690,2400000,"0,049","0,000","0,000","0,049"
post_30,https://www.tiktok.com/@sabarglowup/video/7549882909633645880?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,14/09/2025,sabarglowup,3.800.000.000,Mega,Not Endorse,701800,2860,7716,20900000,"0,034","0,000","0,000","0,034"
post_31,https://www.tiktok.com/@artyasm/video/7538044387889040658?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,13/08/2025,artyasm,1.518,Nano,Endorse,555,28,52,272400,"0,002","0,000","0,000","0,002"
post_32,https://www.tiktok.com/@artyasm/video/7555002113106005256?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,28/09/2025,artyasm,1.518,Nano,Not Endorse,37,2,3,446,"0,083","0,004","0,007","0,094"
post_33,https://www.tiktok.com/@artyasm/video/7543652498888871176?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,28/08/2025,artyasm,1.518,Nano,Not Endorse,26,2,4,314,"0,083","0,006","0,013","0,102"
post_34,https://www.tiktok.com/@artyasm/video/7540645898670312722?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,20/08/2025,artyasm,1.518,Nano,Endorse,11,0,6,319,"0,034","0,000","0,019","0,053"
post_35,https://www.tiktok.com/@artyasm/video/7536130164871154962?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,08/08/2025,artyasm,1.518,Nano,Endorse,13,0,6,479,"0,027","0,000","0,013","0,040"
post_36,https://www.tiktok.com/@artyasm/video/7535458870538276103?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,06/08/2025,artyasm,1.518,Nano,Not Endorse,43,8,6,404,"0,106","0,020","0,015","0,141"
post_37,https://www.tiktok.com/@rfdahhr_/video/7561735776686492949?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,16/10/2025,rfdahh_,26.800,Micro,Not Endorse,135,3,5,7838,"0,017","0,000","0,001","0,018"
post_38,https://www.tiktok.com/@rfdahhr_/video/7555236720308981000?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,29/09/2025,rfdahh_,26.800,Micro,Not Endorse,918,12,28,23800,"0,039","0,001","0,001","0,040"
post_39,https://www.tiktok.com/@rfdahhr_/video/7554227237088726279?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,26/09/2025,rfdahh_,26.800,Micro,Endorse,31,2,2,6165,"0,005","0,000","0,000","0,006"
post_40,https://www.tiktok.com/@rfdahhr_/video/7551008202930818312?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,17/09/2025,rfdahh_,26.800,Micro,Not Endorse,42800,99,4529,902200,"0,047","0,000","0,005","0,053"
post_41,https://vt.tiktok.com/ZSydxcbJ5/,16/09/2025,rfdahh_,26.800,Micro,Endorse,85,4,7,12500,"0,007","0,000","0,001","0,008"
post_42,https://vt.tiktok.com/ZSydQFmbp/,10/09/2025,rfdahh_,26.800,Micro,Endorse,810,59,70,249800,"0,003","0,000","0,000","0,004"
post_43,https://www.tiktok.com/@widianurdd/video/7554348351819664696?is_from_webapp=1&sender_device=pc,26/09/2025,widianurdd,210.500,Midi,Endorse,20900,237,643,439200,"0,048","0,001","0,001","0,050"
post_44,https://www.tiktok.com/@widianurdd/video/7559072327976242443?is_from_webapp=1&sender_device=pc,09/10/2025,widianurdd,210.500,Midi,Endorse,15100,161,493,256300,"0,059","0,001","0,002","0,061"
post_45,https://vt.tiktok.com/ZSydQ9UY8/,12/10/2025,widianurdd,210.500,Midi,Not Endorse,77600,1759,3824,948100,"0,082","0,002","0,004","0,088"
post_46,https://www.tiktok.com/@widianurdd/video/7525715103606525240?is_from_webapp=1&sender_device=pc,11/07/2025,widianurdd,210.500,Midi,Endorse,5407,59,277,337700,"0,016","0,000","0,001","0,017"
post_47,https://www.tiktok.com/@widianurdd/video/7558136809830518027?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,06/10/2025,widianurdd,210.500,Midi,Not Endorse,104900,299,4938,1600000,"0,066","0,000","0,003","0,069"
post_48,https://www.tiktok.com/@widianurdd/video/7541260411761364230?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,22/08/2025,widianurdd,210.500,Midi,Not Endorse,238800,1155,13200,4100000,"0,058","0,000","0,003","0,062"
post_49,https://vt.tiktok.com/ZSydCJqWT/,08/10/2025,_restiindahhh,747.100,Macro,Endorse,291700,8545,11400,8700000,"0,034","0,001","0,001","0,036"
post_50,https://vt.tiktok.com/ZSydCJSF7/,28/09/2025,_restiindahhh,747.100,Macro,Endorse,34700,859,948,3000000,"0,012","0,000","0,000","0,012"
post_51,https://vt.tiktok.com/ZSydQTqF5/,25/09/2025,_restiindahhh,747.100,Macro,Endorse,9475,466,246,1600000,"0,006","0,000","0,000","0,006"
post_52,https://www.tiktok.com/@_restiindahhh/video/7562923917917113620?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,19/10/2025,_restiindahhh,747.100,Macro,Not Endorse,276800,1749,2842,3700000,"0,075","0,000","0,001","0,076"
post_53,https://www.tiktok.com/@_restiindahhh/video/7562090114076232980?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,17/10/2025,_restiindahhh,747.100,Macro,Not Endorse,225000,1500,1466,3400000,"0,066","0,000","0,000","0,067"
post_54,https://www.tiktok.com/@_restiindahhh/video/7558446634267446540?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,07/10/2025,_restiindahhh,747.100,Macro,Not Endorse,416200,5815,9931,7800000,"0,053","0,001","0,001","0,055"
post_55,https://vt.tiktok.com/ZSydX1mFr/,05/09/2025,slsbiila1,5.900.000.000,Mega,Endorse,39200,356,427,865200,"0,045","0,000","0,000","0,046"
post_56,https://vt.tiktok.com/ZSydCKe3E/,07/09/2025,slsbiila2,5.900.000.000,Mega,Not Endorse,15600,330,216,422300,"0,037","0,001","0,001","0,038"
post_57,https://vt.tiktok.com/ZSydCnX11/,07/10/2025,slsbiila3,5.900.000.000,Mega,Endorse,550800,1947,5708,11400000,"0,048","0,000","0,001","0,049"
post_58,https://www.tiktok.com/@slsbiila1/video/7556561956988144908?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,02/10/2025,slsbiila2,5.900.000.000,Mega,Not Endorse,297400,6708,4314,8700000,"0,034","0,001","0,000","0,035"
post_59,https://www.tiktok.com/@slsbiila1/video/7553948891574455560?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,25/09/2025,slsbiila2,5.900.000.000,Mega,Not Endorse,35500,523,427,736100,"0,048","0,001","0,001","0,050"
post_60,https://vt.tiktok.com/ZSydCKEUX/,26/09/2025,slsbiila6,5.900.000.000,Mega,Endorse,77500,679,842,2100000,"0,037","0,000","0,000","0,038"
post_61,https://www.tiktok.com/@jihannnms/video/7555441538738834744?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,29/09/2025,jihannnms,2.544,Nano,Not Endorse,58,17,0,559,"0,104","0,030","0,000","0,134"
post_62,https://www.tiktok.com/@jihannnms/video/7552520884536249611?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,21/09/2025,jihannnms,2.544,Nano,Endorse,57,28,7,471,"0,121","0,059","0,015","0,195"
post_63,https://www.tiktok.com/@jihannnms/video/7551795534122569016?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,19/09/2025,jihannnms,2.544,Nano,Endorse,36,14,1,1923,"0,019","0,007","0,001","0,027"
post_64,https://www.tiktok.com/@jihannnms/video/7551397043952979212?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,18/09/2025,jihannnms,2.544,Nano,Not Endorse,79,19,0,647,"0,122","0,029","0,000","0,151"
post_65,https://www.tiktok.com/@jihannnms/video/7551312598763916600?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,18/09/2025,jihannnms,2.544,Nano,Endorse,46,24,9,5912,"0,008","0,004","0,002","0,013"
post_66,https://www.tiktok.com/@jihannnms/video/7550935661789072696?is_from_webapp=1&sender_device=pc&web_id=7566303296538215956,17/09/2025,jihannnms,2.544,Nano,Not Endorse,55,9,1,510,"0,108","0,018","0,002","0,127"
post_67,https://vt.tiktok.com/ZSy8xyLmU/,30/09/2025,nris9,23.700,Micro,Endorse,4,0,1,230,"0,017","0,000","0,004","0,022"
post_68,https://vt.tiktok.com/ZSy8xpxXP/,27/09/2025,nris9,23.700,Micro,Endorse,25,6,2,1580,"0,016","0,004","0,001","0,021"
post_69,https://vt.tiktok.com/ZSy8xVHdW/,21/09/2025,nris9,23.700,Micro,Not Endorse,16,0,2,352,"0,045","0,000","0,006","0,051"
post_70,https://vt.tiktok.com/ZSy8xnmt6/,14/09/2025,nris9,23.700,Micro,Endorse,8,0,3,338,"0,024","0,000","0,009","0,033"
post_71,https://vt.tiktok.com/ZSy8QeRBG/,09/09/2025,nris9,23.700,Micro,Not Endorse,14,2,2,279,"0,050","0,007","0,007","0,065"
post_72,https://vt.tiktok.com/ZSy8QjJ7C/,05/09/2025,nris9,23.700,Micro,Not Endorse,20,0,1,411,"0,049","0,000","0,002","0,051"
post_73,https://vt.tiktok.com/ZSy8QuUWS/,20/10/2025,pastperfectense,475.600,Midi,Not Endorse,27300,83,432,186900,"0,146","0,000","0,002","0,149"
post_74,https://www.tiktok.com/@pastperfectense/photo/7560964553765342480?is_from_webapp=1&sender_device=pc&web_id=7562970971139180052,14/10/2025,pastperfectense,475.600,Midi,Not Endorse,169300,445,2670,1300000,"0,130","0,000","0,002","0,133"
post_75,https://vt.tiktok.com/ZSy8Qofhn/,02/10/2025,pastperfectense,475.600,Midi,Not Endorse,37200,99,365,466000,"0,080","0,000","0,001","0,081"
post_76,https://vt.tiktok.com/ZSy8C59K3/,29/09/2025,pastperfectense,475.600,Midi,Endorse,18500,106,179,374000,"0,049","0,000","0,000","0,050"
post_77,https://vt.tiktok.com/ZSy8CHaEN/,12/09/2025,pastperfectense,475.600,Midi,Endorse,13200,85,225,331400,"0,040","0,000","0,001","0,041"
post_78,https://vt.tiktok.com/ZSy8XJaJH/,30/08/2025,pastperfectense,475.600,Midi,Endorse,12100,81,131,362700,"0,033","0,000","0,000","0,034"
post_79,https://vt.tiktok.com/ZSy8C4t93/,07/10/2025,vaniaapriscil,628.600,Macro,Endorse,1100000,1451,14300,16900000,"0,065","0,000","0,001","0,066"
post_80,https://vt.tiktok.com/ZSy8XJujk/,06/10/2025,vaniaapriscil,628.600,Macro,Not Endorse,18600,168,109,361500,"0,051","0,000","0,000","0,052"
post_81,https://vt.tiktok.com/ZSy8XmfjF/,26/09/2025,vaniaapriscil,628.600,Macro,Endorse,882300,5263,8638,14700000,"0,060","0,000","0,001","0,061"
post_82,https://vt.tiktok.com/ZSy8XBGTe/,22/09/2025,vaniaapriscil,628.600,Macro,Not Endorse,76500,735,1010,2100000,"0,036","0,000","0,000","0,037"
post_83,https://vt.tiktok.com/ZSy8XyhwS/,19/10/2025,vaniaapriscil,628.600,Macro,Endorse,34300,161,201,321600,"0,107","0,001","0,001","0,108"
post_84,https://vt.tiktok.com/ZSy8XNnr3/,15/10/2025,vaniaapriscil,628.600,Macro,Not Endorse,37600,131,381,467300,"0,080","0,000","0,001","0,082"
post_85,https://vt.tiktok.com/ZSy8pYyuV/,04/10/2025,syifahadjuuuuuuu,5.600.000.000,Mega,Not Endorse,1700000,12200,50600,14300000,"0,119","0,001","0,004","0,123"
post_86,https://vt.tiktok.com/ZSy8pMTGq/,25/08/2025,syifahadjuuuuuuu,5.600.000.000,Mega,Endorse,29800,518,304,1400000,"0,021","0,000","0,000","0,022"
post_87,https://vt.tiktok.com/ZSy8pKS6T/,20/08/2025,syifahadjuuuuuuu,5.600.000.000,Mega,Not Endorse,700900,3021,8459,10700000,"0,066","0,000","0,001","0,067"
post_88,https://vt.tiktok.com/ZSy8s2oN7/,04/08/2025,syifahadjuuuuuuu,5.600.000.000,Mega,Endorse,235200,1045,3844,6000000,"0,039","0,000","0,001","0,040"
post_89,https://vt.tiktok.com/ZSy8sMn3N/,15/07/2025,syifahadjuuuuuuu,5.600.000.000,Mega,Endorse,94400,875,752,3100000,"0,030","0,000","0,000","0,031"
post_90,https://vt.tiktok.com/ZSy8sM5KW/,05/10/2025,syifahadjuuuuuuu,5.600.000.000,Mega,Not Endorse,270100,3846,5185,3500000,"0,077","0,001","0,001","0,080"
post_91,https://vt.tiktok.com/ZSy8G19T4/,14/10/2025,azzahraargta_,9.652,Nano,Endorse,2498,59,175,325700,"0,008","0,000","0,001","0,008"
post_92,https://vt.tiktok.com/ZSy8G1PXc/,09/10/2025,azzahraargta_,9.652,Nano,Endorse,39,16,5,2847,"0,014","0,006","0,002","0,021"
post_93,https://vt.tiktok.com/ZSy8GN5vh/,07/10/2025,azzahraargta_,9.652,Nano,Endorse,52,24,10,1893,"0,027","0,013","0,005","0,045"
post_94,https://vt.tiktok.com/ZSy8GRnpu/,16/09/2025,azzahraargta_,9.652,Nano,Not Endorse,77,17,3,1567,"0,049","0,011","0,002","0,062"
post_95,https://vt.tiktok.com/ZSy8sKwVe/,16/09/2025,azzahraargta_,9.652,Nano,Not Endorse,51,13,2,1138,"0,045","0,011","0,002","0,058"
post_96,https://vt.tiktok.com/ZSy8GPLnA/,13/09/2025,azzahraargta_,9.652,Nano,Not Endorse,89,17,3,1341,"0,066","0,013","0,002","0,081"
post_97,https://vt.tiktok.com/ZSy8t4rMt/,18/10/2025,ara.dailys,46.900,Micro,Not Endorse,106,33,10,1904,"0,056","0,017","0,005","0,078"
post_98,https://vt.tiktok.com/ZSy8t4N7W/,14/10/2025,ara.dailys,46.900,Micro,Endorse,85,37,6,3896,"0,022","0,009","0,002","0,033"
post_99,https://vt.tiktok.com/ZSy8tnpS7/,14/10/2025,ara.dailys,46.900,Micro,Not Endorse,14700,310,655,127300,"0,115","0,002","0,005","0,123"
post_100,https://vt.tiktok.com/ZSy8tT8Vh/,10/10/2025,ara.dailys,46.900,Micro,Endorse,57,32,5,1680,"0,034","0,019","0,003","0,056"
post_101,https://vt.tiktok.com/ZSy8nNApE/,08/10/2025,ara.dailys,46.900,Micro,Not Endorse,111,36,12,2154,"0,052","0,017","0,006","0,074"
post_102,https://vt.tiktok.com/ZSy8tWB5o/,26/09/2025,ara.dailys,46.900,Micro,Endorse,126,61,22,11800,"0,011","0,005","0,002","0,018"
post_103,https://vt.tiktok.com/ZSy8W8yA2/,26/05/2025,ayurahardiaaan,464.500,Midi,Endorse,33100,523,1123,7100000,"0,005","0,000","0,000","0,005"
